epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,200.929,2.07563,1.29893,0,0.561,0.43558,0.4478,0.19734,2.08096,1.30665,0,0.00193935,0.00193935,0.00193935
114,202.705,2.08712,1.2955,0,0.55836,0.43783,0.44824,0.19689,2.08386,1.3256,0,0.00193827,0.00193827,0.00193827
115,204.417,2.07164,1.29168,0,0.57105,0.43332,0.45355,0.19525,2.08724,1.30949,0,0.00193718,0.00193718,0.00193718
116,206.126,2.07575,1.28624,0,0.55746,0.44033,0.45302,0.1997,2.05423,1.29386,0,0.00193609,0.00193609,0.00193609
117,208.059,2.0753,1.28514,0,0.54508,0.43733,0.44359,0.19914,2.04604,1.29672,0,0.00193499,0.00193499,0.00193499
118,209.844,2.08282,1.29449,0,0.55556,0.43483,0.44757,0.1982,2.06673,1.28772,0,0.00193387,0.00193387,0.00193387
119,211.519,2.05117,1.27785,0,0.55768,0.44108,0.44785,0.19743,2.0524,1.30891,0,0.00193275,0.00193275,0.00193275
120,213.277,2.06636,1.28391,0,0.54967,0.43358,0.43763,0.19227,2.07801,1.31329,0,0.00193162,0.00193162,0.00193162
121,214.988,2.03792,1.28058,0,0.5567,0.44158,0.45646,0.20702,2.01435,1.26618,0,0.00193048,0.00193048,0.00193048
122,216.868,2.06255,1.2786,0,0.54821,0.44687,0.45307,0.20618,2.04785,1.287,0,0.00192933,0.00192933,0.00192933
123,218.592,2.02656,1.26298,0,0.5587,0.45169,0.45226,0.20028,2.07067,1.31606,0,0.00192817,0.00192817,0.00192817
124,220.319,2.06078,1.29119,0,0.56004,0.44308,0.455,0.19848,2.0644,1.29537,0,0.001927,0.001927,0.001927
125,222.163,2.06478,1.27445,0,0.54561,0.43983,0.44871,0.19804,2.06803,1.28077,0,0.00192583,0.00192583,0.00192583
126,223.797,2.02281,1.26286,0,0.55972,0.4542,0.4585,0.2041,2.01464,1.29511,0,0.00192464,0.00192464,0.00192464
127,225.433,2.03225,1.26548,0,0.56376,0.45104,0.46374,0.21353,1.98456,1.28318,0,0.00192345,0.00192345,0.00192345
128,226.939,2.03674,1.26229,0,0.56269,0.46099,0.4643,0.21022,2.00044,1.26987,0,0.00192224,0.00192224,0.00192224
129,228.625,2.02411,1.266,0,0.57066,0.45509,0.46153,0.21052,1.99596,1.27293,0,0.00192103,0.00192103,0.00192103
130,230.296,2.03543,1.26744,0,0.54113,0.44033,0.4343,0.18529,2.12452,1.29829,0,0.00191981,0.00191981,0.00191981
131,232.163,2.02478,1.27621,0,0.55988,0.45159,0.45692,0.20947,1.9957,1.27299,0,0.00191858,0.00191858,0.00191858
132,233.949,2.02189,1.25643,0,0.56621,0.43207,0.45318,0.20484,2.02526,1.26298,0,0.00191734,0.00191734,0.00191734
133,235.606,2.0212,1.2473,0,0.55814,0.45434,0.46147,0.21116,1.97997,1.26024,0,0.00191609,0.00191609,0.00191609
134,237.194,2.01361,1.2558,0,0.56048,0.45684,0.46462,0.21221,2.00026,1.2712,0,0.00191483,0.00191483,0.00191483
135,238.734,1.99848,1.25422,0,0.56089,0.44995,0.46773,0.21243,2.00076,1.26401,0,0.00191356,0.00191356,0.00191356
136,240.443,2.0056,1.24476,0,0.55057,0.4611,0.45969,0.20696,2.02765,1.27755,0,0.00191229,0.00191229,0.00191229
137,242.029,1.98903,1.24234,0,0.56107,0.4686,0.47202,0.21318,1.99809,1.25239,0,0.001911,0.001911,0.001911
138,243.747,2.00853,1.24739,0,0.57709,0.46464,0.47205,0.21666,1.9767,1.25836,0,0.00190971,0.00190971,0.00190971
139,245.501,1.98352,1.24183,0,0.56178,0.4656,0.4708,0.21669,1.97255,1.26718,0,0.00190841,0.00190841,0.00190841
140,247.219,1.97353,1.24403,0,0.55025,0.45909,0.46266,0.21562,1.96542,1.27214,0,0.0019071,0.0019071,0.0019071
141,249.091,1.96465,1.23051,0,0.5704,0.45809,0.46769,0.21816,1.95635,1.26962,0,0.00190578,0.00190578,0.00190578
142,250.919,2.00545,1.23747,0,0.58963,0.45159,0.47372,0.21575,1.97688,1.24405,0,0.00190445,0.00190445,0.00190445
143,252.575,1.9825,1.23573,0,0.564,0.44033,0.45099,0.20378,2.02773,1.2613,0,0.00190311,0.00190311,0.00190311
144,254.211,2.02468,1.25583,0,0.5891,0.44478,0.46896,0.22006,1.95284,1.24191,0,0.00190177,0.00190177,0.00190177
145,256.04,1.94986,1.24608,0,0.56036,0.45009,0.46631,0.21958,1.95754,1.23503,0,0.00190041,0.00190041,0.00190041
